,Layer 1,Layer 2,Layer 3,Stage 0 - Layer 1,Stage 0 - Layer 2,Stage 0 - Layer 3,Stage 1 - Layer 1,Stage 1 - Layer 2,Stage 1 - Layer 3,Stage 2 - Layer 1,Stage 2 - Layer 2,Stage 2 - Layer 3,Stage 3 - Layer 1,Stage 3 - Layer 2,Stage 3 - Layer 3,Stage 4 - Layer 1,Stage 4 - Layer 2,Stage 4 - Layer 3,Stage 5 - Layer 1,Stage 5 - Layer 2,Stage 5 - Layer 3,Stage 6 - Layer 1,Stage 6 - Layer 2,Stage 6 - Layer 3,Stage 7 - Layer 1,Stage 7 - Layer 2,Stage 7 - Layer 3,Stage 8 - Layer 1,Stage 8 - Layer 2,Stage 8 - Layer 3
13,Complain,CDM,Kebersihan/ Kelengkapan,Complain (General Customer),Branchless,BLB: CDM Kebersihan/ Kelengkapan,Complain,Branchless,CDM Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan,Complain,CDM,Kebersihan/ Kelengkapan
14,Complain,CDM,Other,Complain (General Customer),Branchless,BLB: CDM Other,Complain,Branchless,CDM Other,Complain,CDM,Other,Complain,CDM,Other,Complain,CDM,Other,Complain,CDM,Other,Complain,CDM,Other,Complain,CDM,Other,Complain,CDM,Other
15,Complain,CDM,Penipuan,Complain (General Customer),Branchless,BLB: CDM Penipuan,Complain,Branchless,CDM Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan,Complain,CDM,Penipuan
16,Complain,CRM,Barang Jatuh Di Area,Complain (General Customer),Branchless,BLB: CRM Barang Jatuh Di Area CRM,Complain,Branchless,CRM Barang Jatuh Di Area CRM,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area,Complain,CRM,Barang Jatuh Di Area
17,Complain,CRM,Gagal Setor,Complain (General Customer),Branchless,BLB: CRM Gagal Setor,Complain,Branchless,CRM Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor,Complain,CRM,Gagal Setor
18,Complain,CRM,Gagal Tarik,Complain (General Customer),Branchless,BLB: CRM Gagal Tarik,Complain,Branchless,CRM Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik,Complain,CRM,Gagal Tarik
19,Complain,CRM,Gagal Transaksi,Complain (General Customer),Branchless,BLB: CRM Gagal Transaksi,Complain,Branchless,CRM Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi,Complain,CRM,Gagal Transaksi
20,Complain,CRM,Kebersihan/ Kelengkapan,Complain (General Customer),Branchless,BLB: CRM Kebersihan/ Kelengkapan,Complain,Branchless,CRM Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan,Complain,CRM,Kebersihan/ Kelengkapan
21,Complain,CRM,Mesin Lambat,Complain (General Customer),Branchless,BLB: CRM Mesin Lambat,Complain,Branchless,CRM Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat,Complain,CRM,Mesin Lambat
22,Complain,CRM,Other,Complain (General Customer),Branchless,BLB: CRM Other,Complain,Branchless,CRM Other,Complain,CRM,Other,Complain,CRM,Other,Complain,CRM,Other,Complain,CRM,Other,Complain,CRM,Other,Complain,CRM,Other,Complain,CRM,Other
23,Complain,CRM,Penipuan,Complain (General Customer),Branchless,BLB: CRM Penipuan,Complain,Branchless,CRM Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan,Complain,CRM,Penipuan
24,Complain,CRM,Uang Palsu,Complain (General Customer),Branchless,BLB: CRM Uang Palsu,Complain,Branchless,CRM Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu,Complain,CRM,Uang Palsu
